6:1750,110705,90109,35708,1903,70326,108984,80442,13875,74523
17:1750,35708,90109,110705,74294,84500,73198,119771,14717,108984
18:1750,110705,90109,35708,1903,70326,108984,80442,13875,74523
35:1750,35708,90109,110705,74294,84500,73198,119771,14717,108984
36:1750,110705,90109,35708,1903,70326,108984,13875,80442,74523
40:1750,35708,90109,110705,74294,84500,73198,119771,101853,14717
41:1750,35708,90109,110705,74294,84500,73198,119771,14717,108984
42:1750,110705,90109,35708,1903,70326,108984,80442,13875,74523
43:1750,110705,35708,90109,1903,108984,70326,74294,13875,80442
44:1750,35708,90109,110705,74294,84500,73198,108984,1903,14717
45:1750,35708,90109,110705,74294,84500,73198,119771,14717,101853
58:1750,110705,90109,35708,1903,70326,108984,80442,13875,74523
59:1750,110705,35708,90109,1903,108984,70326,13875,80442,74294
68:1750,35708,90109,110705,74294,84500,73198,108984,1903,70326
69:1750,35708,90109,110705,74294,84500,73198,108984,1903,14717
93:1750,35708,90109,110705,74294,84500,73198,119771,14717,101853
105:1750,110705,35708,90109,1903,108984,70326,74294,13875,80442
114:1750,110705,35708,90109,1903,108984,70326,74294,13875,80442
115:1750,35708,90109,110705,74294,84500,73198,119771,14717,101853
141:1750,110705,35708,90109,1903,108984,70326,74294,13875,80442
142:1750,35708,90109,110705,74294,84500,1903,108984,70326,73198
147:1750,35708,90109,110705,74294,1903,84500,108984,70326,14717
149:1750,35708,110705,90109,74294,1903,108984,70326,84500,13875
155:1750,35708,90109,110705,74294,84500,73198,119771,14717,101853
160:35708,90109,1750,110705,74294,84500,73198,101853,119771,31636
170:35708,1750,90109,110705,74294,84500,73198,119771,101853,31636
171:1750,110705,35708,90109,1903,108984,70326,13875,80442,74523
56150:1750,110705,35708,90109,1903,108984,70326,74294,13875,80442
175:1750,35708,90109,110705,74294,84500,73198,119771,101853,31636
194:1750,110705,35708,90109,1903,108984,70326,13875,80442,74294
200:1750,35708,90109,110705,74294,84500,73198,119771,108984,14717
209:1750,35708,90109,110705,74294,84500,73198,119771,14717,108984
215:1750,110705,35708,90109,1903,108984,70326,13875,80442,74523
218:1750,35708,90109,110705,74294,84500,1903,108984,73198,70326
221:1750,35708,90109,110705,74294,84500,73198,119771,14717,108984
47888:1750,35708,90109,110705,74294,84500,73198,108984,1903,14717
222:35708,1750,90109,110705,74294,84500,73198,119771,101853,31636
4632:1750,35708,90109,110705,74294,84500,73198,108984,1903,70326
225:1750,110705,90109,35708,1903,70326,108984,80442,13875,74523
227:35708,90109,1750,110705,74294,84500,73198,101853,119771,31636
228:35708,1750,90109,110705,74294,84500,73198,119771,101853,31636
234:1750,35708,110705,90109,74294,1903,108984,70326,84500,13875
