7:8345,17271,29000,741,13581,10348,22420,74923,5115,14340
18:8345,29000,17271,13581,741,10348,22420,74923,7604,6402
19:117704,98426,96036,112000,113316,110863,120598,100937,121814,121692
36:8345,29000,17271,741,13581,10348,22420,74923,14340,5115
37:8345,17271,10348,29000,741,13581,22420,9127,5115,14340
41:8345,17271,10348,29000,741,13581,22420,9127,5115,14340
42:8345,17271,10348,29000,741,13581,22420,9127,5115,14340
43:40457,109880,71222,43280,16416,110669,48991,86627,6104,11183
44:8345,17271,10348,29000,741,13581,22420,9127,5115,14340
45:11447,40457,9514,40390,11571,16416,27293,20628,43577,6104
46:8345,17271,10348,29000,741,13581,22420,9127,5115,14340
59:8345,17271,10348,29000,741,13581,22420,9127,5115,14340
60:8345,17271,29000,741,10348,13581,22420,74923,5115,14340
69:8345,17271,10348,29000,741,13581,22420,9127,5115,74923
70:11447,9514,11571,40390,853,20628,27293,40457,16416,43577
94:8345,17271,29000,10348,741,13581,22420,74923,5115,14340
106:8345,29000,17271,741,13581,10348,22420,74923,14340,5115
115:8345,17271,29000,10348,741,13581,22420,74923,5115,14340
116:40457,11447,16416,6104,43577,33094,26649,2113,15640,11183
142:8345,17271,29000,741,13581,10348,22420,74923,5115,14340
143:103527,107644,103678,48834,92741,113211,86410,102524,106977,85048
148:103527,107644,103678,48834,92741,78432,86410,102524,117759,41390
150:8345,29000,17271,741,13581,10348,22420,74923,14340,5115
156:8345,17271,10348,29000,741,13581,22420,9127,5115,14340
161:8345,17271,10348,29000,741,13581,22420,9127,5115,74923
171:8345,17271,29000,741,10348,13581,22420,74923,5115,14340
172:8345,17271,10348,29000,741,13581,22420,9127,5115,14340
174:103527,107644,103678,113211,103706,106977,85048,48834,99282,78317
177:8345,29000,17271,741,13581,10348,22420,74923,14340,5115
196:8345,17271,29000,10348,741,13581,22420,74923,5115,14340
202:8345,17271,29000,10348,741,13581,22420,74923,5115,14340
211:11447,9514,11571,40390,853,20628,27293,40457,16416,43577
217:29000,8345,17271,13581,741,10348,22420,74923,7604,6550
220:11447,9514,40390,11571,40457,853,27293,20628,16416,43577
223:8345,17271,10348,29000,741,13581,22420,9127,5115,74923
224:117704,98426,96036,119649,123306,121277,112000,110863,113316,100937
225:8345,17271,29000,10348,741,13581,22420,74923,5115,14340
228:8345,29000,17271,741,13581,10348,22420,74923,14340,5115
229:8345,17271,29000,10348,741,13581,22420,74923,5115,14340
231:29000,8345,17271,13581,741,10348,22420,74923,7604,6550
232:117704,98426,96036,112000,113316,110863,120598,100937,121692,121814
238:11447,9514,40390,11571,853,20628,27293,40457,16416,43577
241:8345,17271,29000,10348,741,13581,22420,74923,5115,14340
245:119649,123306,121277,118000,119618,122009,104004,122323,111650,121609
249:29000,8345,17271,13581,741,10348,22420,74923,7604,6550
250:8345,17271,29000,741,10348,13581,22420,74923,5115,14340
253:40457,11447,16416,6104,43577,33094,26649,40390,9514,2113
257:8345,17271,29000,10348,741,13581,22420,74923,5115,14340
272:103527,107644,103678,48834,92741,86410,78432,102524,113211,117759
273:8345,29000,17271,13581,741,10348,22420,74923,14340,7604
288:8345,17271,10348,29000,741,13581,22420,5115,74923,14340
290:117704,98426,96036,112000,110863,113316,120598,100937,121814,121692
291:103527,107644,103678,48834,92741,78432,86410,102524,113211,117759
292:29000,51858,16436,7604,6550,72787,40603,46359,4180,45819
294:8345,29000,17271,741,13581,10348,22420,74923,14340,5115
328:109880,71222,40457,110669,72166,43280,116248,57686,41050,17664
331:8345,17271,29000,10348,741,13581,22420,74923,5115,14340
345:11447,40457,9514,40390,16416,11571,27293,43577,6104,20628
